Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series
15/1/2020,"1,067.5","1,069.3","1,062.5","1,064.4","1,064.50",-7.30,-0.68%,"152,343","308,214",H20
16/1/2020,"1,065.6","1,075.0","1,064.0","1,072.6","1,072.80",8.30,0.78%,"158,172","305,427",H20
17/1/2020,"1,076.0","1,079.2","1,074.3","1,077.0","1,077.00",4.20,0.39%,"119,198","309,023",H20
20/1/2020,"1,076.8","1,076.8","1,068.1","1,069.7","1,069.90",-7.10,-0.66%,"149,417","309,554",H20
21/1/2020,"1,065.5","1,068.0","1,060.1","1,060.4","1,060.50",-9.40,-0.88%,"175,914","331,458",H20
22/1/2020,"1,062.1","1,064.5","1,057.1","1,060.7","1,060.50",-,-,"166,388","343,044",H20
23/1/2020,"1,056.1","1,060.3","1,054.0","1,058.3","1,058.50",-2.00,-0.19%,"121,237","338,445",H20
24/1/2020,"1,059.8","1,061.7","1,054.5","1,054.8","1,055.30",-3.20,-0.30%,"110,928","336,979",H20
27/1/2020,"1,043.0","1,044.5","1,014.5","1,016.7","1,017.30",-38.00,-3.60%,"281,482","338,910",H20
28/1/2020,"1,011.6","1,025.8","1,007.4","1,013.8","1,013.20",-4.10,-0.40%,"265,040","328,354",H20
29/1/2020,"1,022.0","1,024.5","1,011.2","1,024.0","1,024.10",10.90,1.08%,"251,165","323,707",H20
30/1/2020,"1,018.0","1,021.8","1,013.6","1,018.8","1,018.90",-5.20,-0.51%,"188,445","335,807",H20
31/1/2020,"1,023.0","1,024.5","1,012.4","1,012.4","1,013.20",-5.70,-0.56%,"157,117","338,157",H20
3/2/2020,"1,010.5","1,013.4",999.9,"1,001.6","1,001.40",-11.80,-1.16%,"234,845","331,594",H20
4/2/2020,"1,006.0","1,020.4","1,002.7","1,017.9","1,017.90",16.50,1.65%,"221,968","330,115",H20
5/2/2020,"1,019.0","1,028.2","1,014.3","1,027.9","1,027.30",9.40,0.92%,"221,655","331,047",H20
6/2/2020,"1,030.0","1,031.4","1,023.1","1,023.3","1,024.00",-3.30,-0.32%,"178,183","326,839",H20
7/2/2020,"1,022.5","1,029.4","1,018.8","1,023.5","1,023.60",-0.40,-0.04%,"176,979","326,390",H20
11/2/2020,"1,027.8","1,029.8","1,016.3","1,017.7","1,017.70",-5.90,-0.58%,"156,824","337,835",H20
12/2/2020,"1,019.3","1,032.4","1,018.1","1,028.6","1,028.20",10.50,1.03%,"185,692","342,849",H20
13/2/2020,"1,026.2","1,029.5","1,021.6","1,024.0","1,023.90",-4.30,-0.42%,"148,066","344,721",H20
14/2/2020,"1,026.5","1,028.5","1,017.5","1,020.0","1,019.60",-4.30,-0.42%,"144,577","344,939",H20
17/2/2020,"1,020.8","1,022.5","1,016.3","1,020.3","1,020.20",0.60,0.06%,"101,778","341,823",H20
18/2/2020,"1,016.3","1,016.4","1,008.2","1,012.6","1,012.50",-7.70,-0.75%,"145,307","351,378",H20
19/2/2020,"1,015.1","1,017.0","1,008.0","1,010.7","1,010.80",-1.70,-0.17%,"156,053","350,449",H20
20/2/2020,"1,011.6","1,011.9",991.1,995.6,995.90,-14.90,-1.47%,"237,418","361,867",H20
21/2/2020,989.7,"1,001.2",987.0,"1,000.4","1,000.80",4.90,0.49%,"217,697","364,761",H20
24/2/2020,983.8,986.5,951.9,952.6,953.60,-47.20,-4.72%,"261,317","362,923",H20
25/2/2020,960.0,969.7,950.5,962.0,962.10,8.50,0.89%,"306,015","353,046",H20
26/2/2020,956.0,958.7,913.0,919.7,918.90,-43.20,-4.49%,"386,888","352,089",H20
27/2/2020,916.0,936.6,906.3,933.8,932.60,13.70,1.49%,"363,244","360,092",H20
28/2/2020,906.0,910.0,891.2,893.5,894.30,-38.30,-4.11%,"376,460","362,243",H20
2/3/2020,913.4,915.0,881.9,894.7,893.30,-1.00,-0.11%,"372,443","346,733",H20
3/3/2020,911.0,929.4,906.0,924.3,924.30,31.00,3.47%,"294,739","333,877",H20
4/3/2020,917.0,928.3,914.6,927.5,927.40,3.10,0.34%,"257,263","325,010",H20
5/3/2020,934.3,946.2,931.2,931.6,931.80,4.40,0.47%,"268,653","326,535",H20
6/3/2020,918.0,919.5,908.0,914.6,913.70,-18.10,-1.94%,"244,721","318,940",H20
9/3/2020,850.3,870.0,820.0,829.7,829.80,-83.90,-9.18%,"376,156","310,228",H20
10/3/2020,837.0,849.7,827.7,843.7,843.30,13.50,1.63%,"348,825","305,917",H20
11/3/2020,834.0,845.3,811.5,821.7,821.60,-21.70,-2.57%,"373,154","318,922",H20
12/3/2020,780.1,782.0,710.0,724.1,722.60,-99.00,-12.05%,"468,764","331,852",H20
13/3/2020,670.0,779.9,623.0,747.0,745.20,22.60,3.13%,"630,128","308,817",H20
16/3/2020,675.4,728.0,675.4,682.0,681.30,-63.90,-8.57%,"397,063","325,620",H20
17/3/2020,689.9,710.0,673.6,674.0,676.50,-4.80,-0.70%,"407,706","320,011",H20
18/3/2020,688.1,714.0,671.0,692.9,692.60,16.10,2.38%,"386,356","301,732",H20
19/3/2020,674.5,696.0,661.1,688.0,688.50,-4.10,-0.59%,"296,199","275,283",H20
20/3/2020,716.0,762.0,708.0,760.5,757.40,68.90,10.01%,"305,880","247,282",H20
23/3/2020,689.0,710.0,670.1,671.0,672.00,-85.40,-11.28%,"254,320","263,319",H20
24/3/2020,715.1,719.0,677.8,698.3,696.10,24.10,3.59%,"269,421","240,328",H20
25/3/2020,723.4,744.2,701.8,723.6,723.90,27.80,3.99%,"296,762","205,875",H20
26/3/2020,717.0,743.5,715.3,737.9,737.70,13.80,1.91%,"221,101","171,435",H20
27/3/2020,755.0,761.5,728.6,738.6,739.40,1.70,0.23%,"137,274","97,972",H20
30/3/2020,730.1,733.7,717.0,731.3,731.35,-8.05,-1.09%,"67,923","57,820",H20
1/4/2020,736.0,749.5,728.0,730.9,731.10,-11.80,-1.59%,"219,356","262,421",M20
2/4/2020,735.5,764.5,730.4,758.0,757.80,26.70,3.65%,"230,326","261,833",M20
3/4/2020,767.0,770.5,748.8,763.2,761.70,3.90,0.51%,"207,737","263,478",M20
7/4/2020,809.0,824.9,784.2,822.9,822.20,60.50,7.94%,"290,765","235,075",M20
8/4/2020,811.2,813.9,797.6,813.0,812.50,-9.70,-1.18%,"233,669","224,913",M20
9/4/2020,817.0,839.5,805.0,813.8,813.90,1.40,0.17%,"254,799","209,773",M20
10/4/2020,809.0,827.8,802.3,827.0,826.30,12.40,1.52%,"156,191","204,571",M20
13/4/2020,822.0,830.3,815.8,827.7,827.20,0.90,0.11%,"139,613","210,271",M20
14/4/2020,837.0,850.6,830.6,841.3,841.10,13.90,1.68%,"186,333","213,138",M20
15/4/2020,833.0,843.0,821.5,823.6,824.00,-17.10,-2.03%,"199,248","222,965",M20
16/4/2020,821.0,823.0,796.5,796.5,797.70,-26.30,-3.19%,"198,729","218,942",M20
17/4/2020,820.0,835.2,811.9,834.9,834.60,36.90,4.63%,"206,063","220,171",M20
20/4/2020,834.5,859.2,826.1,850.5,850.90,16.30,1.95%,"209,250","226,545",M20
21/4/2020,832.2,846.0,831.6,835.0,835.50,-15.40,-1.81%,"179,115","238,044",M20
